@relation taptap_reviews

@attribute text string
@attribute class {pos,neg}

@data
'一坨 回家吧 孩子 游戏 游戏 保底 歪 下次 不要 歪 11 18 tap 显示 900 小时 打卡 ovo 无聊 崩铁 千篇一律 沙漠 容易 迷路 地图 树 供奉 制度 永远 抽 不到 角色 更 宝箱 数量 相同 奖励 减负 真 不想 坐牢',neg
'删 重下 号 没 好笑',neg
'打开 tap 看到 赶紧 过来 补 评价',pos
'手 残党 退过 坑 不得不 说 真好玩',pos
'有没有 知道 邦 绿线 判定 划到 最后 松手 划 最后 再点 一下 老是 判定 不上',pos
'不好玩',pos
'新春 活动 三周年 福利 总共 送 s 回归 玩家 周年 庆 一个 s 自选 大眼 魄力 不错 不错 玩 俩 月 没 氪 每个 版本 奖励 同类 游戏 算多 抽卡 个人 认为 算是 比较 良心 新手 出金率 高 后面 会 逐渐 正常化 双 蛋黄 不在少数 没试 晒 帖 了解 高玩 个人感觉 大部分 角色 不会 过分 依赖 专武 角色 培养 难度 不会 太 打击 手感 中规中矩 某双 可能 会 差点 点 相信 大眼会 越做越 多多 听取 玩家 意见 保持 现在 状态 继续 寻求 突破 今天 这波 更新 属实 呆 居然 服务器 维护 第二天',pos
'写 前面 pc 玩 时长 有点 对不上 终于 退坑 浅浅 说 一下 不肝 氪 门派 开 号 主玩 神相 素问 男女 有别 抬杠 t0 瑶光 天赏 返现 一颗 1150 1200 左右 换 白发 染 天赏 头发 除去 觉得 外观 之前 玩糊 省钱 明码标价 288 时不时 送 半价 券 六元 免活 宣 染色 隔壁 宣 染色 比刀 划算 比较 恼火 游 背饰 放 骨灰盒 每次 保底 人模 精致 度 手游 三家 最好 成 男 没有 双下巴 肤色 不会 假白 场景 建模 pc 好看 手机 画质 太行 pad 战力 一个 赛季 一个 神 平衡 天天 骂 亲友 这种 养老 真的 不错 赛季 制 压力 很大 新 副本 第二周 基本 会 变成 宝宝 巴士 ai 带 躺 玩 最后 没意思 知道 玩 知道 是不是 结义 人数 过多 多多少少 矛盾 前前后后 散 好几个 队伍 玩 后面 感觉 越来越 寡 没有 新鲜感 不乐意 结交 新 朋友 对象 结义 内部 事情 拌嘴 一怒之下 双双 a 游 现在 觉得 a 好像 没什么 戒断 反应 不要 抬杠 说 肝 日活 每天 五分钟 不要 事情 探索 做 一辈子 做 缺 一点点 外观 绑玉 每周 重要 事情 一下 剩下 几天 随便 搞 一下 补 一下 莲花 楼 这波 联动 答辩 没 喜欢 三次 男明星 粉丝 偷图 洗地 居然 还给 第一 剑 名号 夺 剧情 本来 喜欢 感觉 憋屈 更 喜欢 莲花 楼 强容 世界观 周年 庆四编 莲花 楼 之后 a 很长 一段时间 近期 周年 庆回 坑 周年 庆 福利 少得 可怜 一个 288 代金券 顺便 我大号 卖 小号 居然 1500 多个 小时 时间 哥 新品种 韭菜 五编 莲花 楼 联动 结束 心 痒痒 回来 玩 小号 物是人非 走前 帮派 交给 二当家 现在 没人 之前 好歹 一个 乙帮 现在 逆水 知道 说 遂 开 摆 宠物 系统 开 之后 狠狠 沉迷 一段时间 两眼 一睁 繁育 金色 福宝 一看 繁育 条件 头皮发麻 金色 繁育 加 锦囊 概率 出 反应 过来 这条 路上 走 韭菜 两天 冷静 说 一下 副本 老 样子 没 可圈可点 地方 ai 无脑 爽 完事 祈珍 东西 希望 打本前 记得 可能 确实 少 之前 66 五 连胜 不会 晋级 今天 66 赢 三 居然 晋级 顺便 一提 回坑 之后 明显 感觉 衣服 大部分 限时 连体衣 懒得 说 哪件 版本 更新 之后 衣服 一起 搭配 真的 怪 脑溢血 前两天 滤镜 公告 真的 想不通 ch 一点 玩家 意见 听不进去 现在 约稿 太太 查 成分 发现 玩 逆水 寒 突然 想 评价 一下 感觉 看来看去 居然 逆子 对胃口 真服了 求友 商发力 打个 一星 逆子 有点 危机感',neg
'加载 小时 进不去',neg
'一直 卡 进不去 意思',neg
'兜兜 转转 初中 玩 大三 期间 玩 很多 二游 兜兜 转转 回到 fgo fgo 含金量',pos
'游戏 剧情 人物 建模 游戏 奖励 非常 完善',pos
'姐妹 慎重 入坑 游戏 饭 圈 模拟器',neg
'搬 砖 不出 西琳 专武不出 直接 改 星 捏',pos
'号 开局',pos
'非常 吃 手法',pos
'推荐 卢卡 推 当日 皮肤 没有 建模 做 优化 听 记得 卢卡 宝宝 人设 天才 小少爷 皮肤 出 一堆 野人 哇塞 哇塞 说 说 优化 疑似 偷偷 囚黑 藏不住',neg
'全是 保底 歪 歪到 俩 b 蛇 真 没 绷住 终于 出 太 感动 明日 方舟 真好玩',pos
'说 日 服从 21 年水 星野 池 玩 现在 90 级 国服 是从 今年 月份 玩 现在 66 级 感觉 两个 服都 没有 玩 下去 动力 叙事 ba 叙事 个人 做 伊甸园 条约 剧情 不错 最终 章 挺 国服 现在 没 问题 至少 现在 可玩性 个人 觉得 个人观点 可玩性 实在 高 玩法 喜欢 推 任务 会 感觉 无聊 凹 总 力战 ba 优秀 应该 同人 社区 现在 一言难尽 运营 服务 想 说 国服 感觉 运营商 没有 用心 运营 款 游戏 一种 卷 完钱 跑 路 状态 现在 说 没什么 运营商 做出 行动 反正 目前 没有 玩 下去 欲望 本来 喜欢 款 游戏 现在 坚持 下去 说 个人 想法 阅读 条 评论 产生 不悦 对不起',neg
'音游 里面 这种 圈圈 玩 下去 最近 那种 长 圈 明明 按住 miss 知道 原因 总是 整得 红温',pos
'想 大胆 评价 一下 原神 玩 时间 太 长 应该 说 话 原神 已经 大概 两个 多月 没有 玩 没有 删掉 静静的 呆 手机 里 想 玩游戏 首选 买断 制 游戏 米哈 游 游戏 想 逃避 一件 事 米哈 游 游戏 已经 提不起 兴趣 或许 有人 说 打牌 弹琴 只不过 做 完 主线 肝 完 地图 想 让玩家 游戏 里 消遣 方式 款 游戏 只能 说 真的 想入 坑 应该 评价 应该 亲自 体验 犹豫 不要 入坑 遗憾 原神 没有 当年 火 更 遗憾 找 不到 旅行 理由 知道 当时 刚玩 游戏 心情 一种 没 办法 溢于言表 激动 现在 佩服 一直 不离 不弃 uid 非常 前 老 玩家 真的 非常 热爱 款 游戏 现在 退坑 很多 这款 游戏 保留 热爱 希望 很多 留下来 这是 离别 馈赠',pos
'修复 网络 问题 天天 卡',neg
'玩起来 挺 有意思',pos
'好玩 太 好玩 喜欢 白子',pos
'一边 玩 一边 哭',pos
'史 有钱 充 皮肤 买 服务器 直接 一步到位 买 正版 冈门版 缺点 太多 15 版本 冈门 成功 解决 中国 版 mc 玩 问题 新 键位 很难 想象 做',neg
'羁绊 越来越 千篇一律 基本 只能 玩 强势 版本 给牌 机制 越来越 蠢',neg
'代理商 没赤 过史 逝 一下',neg
'元气 骑士 款 游戏 主要 手机 性能 低 畅玩 可玩性 值得 入坑',pos
'灾厄 下载',pos
'服务器 优化 一坨',neg
'火影 削弱 强势 角色 好歹 爽 十天 半个 月 买 几天 削 削 做 做 测试 一个 贴脸 肉搏 技能 搞 成能 一村 boss 几下 打爆 现在 皮套 三 技能 没 技能 硬',neg
'服 成年 身份 信息 人脸识别 一直 说 不行',neg
'行 抽卡 有点 非酋',pos
'一个 牢机 玩 进去 一段时间 有点 卡 以外 基本 不卡 抽卡 系统 认为 还好 没 抽到 老 猞猁 痛 扣分 QAQ 今天 更新 有点 不好 手机 内存 每次 重新 卸载 安装 真的 痛苦 希望 每次 不用 安装 说句实话 真的 炸 想象 每次 重新 下载 资源 裂开 感觉',pos
'游戏 先不说 里面 毫无 素质 上来 骂 菜 骂 无语 死 毫无 游戏 体验 感',neg
'非常 好玩 23 年入 坑 卡面 人物形象 美 剧情 堪具 吸引力 作文 素材 激励 人物 成长',pos
'光遇 真的 一年 一年 休闲 娱乐 社交 游戏 现在 每次 复刻 需 白蜡 一直 不减 反增 现在 投入 更 精力 体验 游戏 操作 方面 很多 问题 边缘 判定 人物 操作性 感觉 别别扭扭 强制 动画 更是 非常 理解 每次 跑 图 强制 玩家 跑 图 想 迅速 解决 过程 非要 过程 中 增加 难度 让玩家 感觉 别扭',neg
'手机 玩不卡 感觉 小米 太拉 一直 掉 帧 卡 帧',pos
'啥时候 能加 跳 剧情 按钮 改回去',neg
'总体 非常 会 送 福利 糖果 皮服',pos
'游戏 太 好玩',pos
'岳山桶 穿席 直接 走 不吃 控 满血 直接 资四 变身 蚂蚁 做 游戏',neg
'忍战 不够 牢 玩家 需求 三点 第一 需要 保证 后续 忍者 制作 质量 第二 需要 调整 补老忍 法帖 速度 第三 需要 隔壁 训练场 全 角色',neg
'真的 音游 脑洞',pos
'能合服',pos
'策划 依旧 做 死 一直 推星 之环 角色 换代 很快 不充 钱 只能 摆烂',neg
'玩 太 明白 玩 两个 时间段 纯粹 是因为 联动 miku 真的 不会 玩 一联快 结束 知道 没肝 几天 没 抽到 miku 二联 看看 不能 抽到 抽到 顺道 买下 皮肤',pos
'我进 基建 黑屏',neg
'抽奖 爆率 真的 低 低 坨 屎',pos
'喜欢 胖胖 龙 特别 剪纸 仙灵 一段时间',pos
'杀 g 游戏 600 抽 一个 红 保底 出',neg
'lys 快点 出艾蕾 泳装 不要 备战 s10 团建 出',pos
'游戏 唯一 缺点 代码 刷装备 正儿八经 玩 生存 很少',pos
'全是 挂',neg
'2024 09 21 星 评价 价格 不错 2019 04 02 趣味 旁白 攻击 玩法 隐藏 关 人物 设定 得分 不够 肝 几个 小时 通关 不耐玩 起码 肝个 一两天 行',pos
'好似 懒得 喷',neg
'第一次 玩 s1 赛季 现在 感觉 还好 网易 偶尔 会 送点 福利 不能 巅峰 出点 好玩 地图 现在 巅峰 好玩 地图 属实 说 分 挺 无聊 超然 竞技场 个人感觉 挺好玩 里面 大部分 新出 角色 技能 翻 老 角色 网易 不能 有点 创新',pos
'新春 大年初一 游 送 国产 游戏 除夕 跨年 晚上 连登 七八个 二游 休闲 小游戏 送点 东西 你游 年前 出个 新春 活动 没 新 活动 库存 清空 鬃毛 现在 开 一个 翻遍 新 活动 列表 警钟 最后 一关 困难 模式 基本 没 玩 身为 开服 玩家 一直 陆陆续续 退坑 回坑 拉扯 太肝 上次 退坑 前 拉满 两个 木 C 每天 肝洞 三 共鸣 材料 材料 爆率 低 每天 清空 体力 买点 近 一个月 共鸣 材料 没有 出新 活动 梦境 兑换 抽卡 多余 材料 兑换 没有 渠道 完全 不够 死 梦境 更新 重置 抽卡 概率 高 画风 游戏 尿性 完全 没法 吸引 玩 下去 抽卡 概率 最近 感觉 越来越 非 之前 每个 限定 up 池 顶多 二十 抽 出 角色 现在 两次 吃 保底 歪 上次 图图 没 抽到 歪 槲寄生 歪 真想 笑 希望 没有 警察 出警 游戏 时间 毕竟 应该 知道 TapTap 游戏 时 长 完全 准',neg
'这大 战场 是非 卷 行 好好 玩 一把 忍着 载具 炮火 反载 具 点掉 救 点 到头来 掉 分 开 排位 怕 日 活少 理解 但卷 过头 退游 无所谓 神经兮兮',neg
'以往 剧情 不乍地 幻想 真境 剧诗 深境 螺旋 太 折磨 音乐 美术 品质 在线',pos
'够 游戏 存档 没 之前 买 音乐 没',neg
'武侠 吃 鸡 666 可玩性 非常 高',pos
'不算 老 玩家 2021 正式 常驻 崩坏 3rd 年里 时光 感觉 恍惚 看到 琪 亚娜 芽 成 老师 布洛妮娅 成 米哈 游 CEO bushi 时间 真是太 快 喜欢 琪 亚娜 可爱 总是 考虑 大气 偶 错误 白毛 难 绷 芽 布洛妮娅 御 三家 含金量 不必 说 部 主线 主角 芽 温柔 长发 厨艺 高超 体贴 重情 重义 设定 上琪 亚娜 性格 表面 比较 类似 明日香 布洛妮娅 比较 类似 绫波丽 芽 碇 真嗣 有点 相似 地方 谈起 崩坏 3rd 不同 角色 会 不同 看法 各有所爱 崩坏 3rd 里 会 遇见 各种各样 角色 希望 找到 喜欢 发琪 谢谢 立绘 建模 女 武神 主要 男 舰长 不多 说 凯文 帅 打击 感 技能 打击 配合 连击 音效 受击 效果 不错 光翼 展开 琪 亚娜 旋转 射击 芽 月光 王座 时 旋转 砍 布洛妮娅 发射 炮弹 段落 感 曾经 问过 同学 大鸭 鸭 手感 咋样 说 涉黄 大庭广众 居然 讨论 女 角色 手感 一时 语塞 画面 音乐 神中神 米哈 游 音乐 通常 故事 可玩性 深渊 凹 凹 睡觉 更香 补 2025 玩法 前期 主要 主线 为主 主线 升级 80 左右 继续 升到 88 满级 中间 很多 强制 限定 体验 角色 不用 资源 拉高 太 后期 箱庭 世界 体验 御 三家 剧情 角色 强度 不太 影响 通关 星 建议 新人 福利 里 空之律者 希儿 不用 升满 控制 资源 升新 角色 后期 抽 新手 卡池 之律者 新 up 卡池 星之环 部新 装甲 运营 服务 着实 抽卡 资源 太少 每次 活动 氵 蚊子 腿 游戏 里 充值 内容 感觉 一般般 投资 回报 这点 感觉 原神 崩铁 差距 氪 金 大概 4k 左右 建议 奔 剧情 角色 考虑 入坑 剧情 绝对 质量 玩法 确实 不够 吸引 补 一下 1w 氵 出琪 天大圣 2025 24 注 想 流畅 高画质 玩 建议 骁龙 gen1 天玑 9000 A15 SOC 8GB 内存 游玩 支持 游戏 内帧 率 90hz 设备 使用 mate40pro 貌似 60hz 最高 档位 PC 体验 个人 觉得 不错 日常 玩 喜欢 移动 端 最好 256GB 存储空间 日用 游戏 通讯 照片 录像 需求 建议 256GB 我用 最简 下载 目前 25 62GB 全 下载 可能 多些 要入 坑 考虑 性能 体验 内存 因素',pos
'2024 11 24 伊 切尔 版本 入坑 之后 一场 突击 直播 服务 确实 到位 嗷 听 进 玩家 尖锐 声音 美中不足 玩法 缺 一个 让玩家 常驻 玩法 其实 比起 重心 放在 配音 lhm 更 需要 产能 放在 玩法 开发 重置 前 10 章 剧情 内容 情况 等级 高 玩家 应该 不太会 特地 回到 前面 重新 听 一遍 配音 入坑 新 玩家 尘白前 10 章 剧情 有所 耳闻 选择 跳过 人生 后续 新 版本 剧情 中 增加 全 配音 期待 lhm 会 之后 带来 更好 体验 2025 24 刚刚 完 春节 版本 剧情 正好 时隔 月 回来 修改 一下 评分 评价 玩爽',pos
'为啥 没有 账号',pos
'玩完 车上 玩 剧情 前期 枯燥 后期 伏笔 整体 游玩 下来 剧情 感受 很深 游戏 名 年 看到 玩 通关 没有 攻略',pos
'bug 挺 官方 真的 摆烂 真的 没话说 挺好玩 入手 之前 考虑',pos
'战斗 系统 真的 垃圾 讲真 当时 战斗 系统 其实 挺 喜欢 玩 战斗 类 游戏 好不容易 看到 个乙游 战斗 系统 玩 没有 预想 战斗 系统 姐妹 就别 玩',pos
'星极加 两星',pos
'代入 感 剧情 做 真的 没 说 代入 感 强 世界观 围绕 侠 真的 一种 闯荡江湖 感觉 画面 好看 感觉 武侠 味道 自由度 自由度 挺 高',pos
'90 抽 角色 必出 剩 抽才 出 60 抽 武器 必出 剩 10 抽 没出 圣痕 坨 一看 概率 算了 一下 逗我 笑 爆率 真的 低',neg
'玩 月',pos
'十年磨一剑 zen 十年 做 坨 推迟 上线 玩家 做 坨 本来 上次 玉取 活动 收益 减 不少 更是 恶心 收益 真 爬塔 哥们 真 觉得 人工 时间 不算 大型 pve 活动 建议 改成 大型 吃石 大赛 线下 请主播 帮 宣传 之后 体服 背 刺 游戏 里 替魂 现实 里 抓主播 当替 魂',neg
'198 买面 麻真成 小丑',neg
'运营 服务 体验 服 里面 全是 透视 举报 按钮 摆设 垃圾 游戏 举报 没有 不要 王者 青天 大老爷 不会 误判 一个 举报 王者 青天 大老爷 不会 想 体验 开挂 人生 建议 体验 服去 巅峰 赛 概率 保证 两边 挂哥 干将 体验 服 禁人 榜 永远 不会 放 顶不住 一个 开 透视 干将',neg
'本次 评价 本来 蓝闪大 保底 有点 难受 神芙单 抽 真 出货 30 单 抽 出 宣布 尘白 禁区 荣升 今年 最佳 手游 新 皮肤 真的 不错 钱包 打算 偷偷摸摸 入手 继续 努力 建议 整点 模式 历史 评价 简简单单 玩 几天 只能 说 游戏 真的 挺不错 不多 说 很大 非常 尤其 结算 快糊 脸上 款 游戏 单位 显得 格格不入 剩下 简单 说 太 满意 地方 枪手 感 真的 挺 奇特 舒服 太拉夸 尤其 狙击枪 开镜 左偏 挺 挺 奇妙 不用 电脑 玩 上班 摸鱼 玩 手机 已经 不错 世界 模式 开 高 真的 烫 直接 画质 调到 中 再就是 自动 瞄准 太 奇怪 辅助 瞄准 好事 有时候 强制 不想 怪 有近 锁 远处 怪 拉 拉 回来 开 手动 还手 残 很难 剩下 优点 说 太 懂 太 炸裂 建模 稍微 差点 意思 已经 满意 希望 加大力度 年 吃 真 不太好 孩子 补补 2025 年 月 最新 评价 无敌 皮肤 尘白 彻底 开启 备孕 模式',pos
'游戏 行 太肝',neg
'福利 挺 版本 更新 确实 优化 很多 大月卡 服装 真的 太 难看 完全 没有 想 买 欲望',pos
'超 美的 暖 暖 宝宝 希望 进行 更 优化 特别 游戏 录 视频 live 更好',pos
'立绘 建模 马脸 立绘 雷七实 游戏 建模 高光 本来 越往后 立绘 建模 会 越来越 新出 莉莉丝 曲 涂装 当头一棒 莉莉丝 建模 十分 粗糙 水平 像是 退回 前年 曲 新 皮肤 一言难尽 我能 找到 唯一 一个 优点 特效 好看 角色 人设 人设 生动 饱满 剧情 优质 想 问问 新 活动 剧情 文案 乱写 小露 新 机体 异聚塔 而生 新 活动 没有 小露 机体 出 可玩性 上线 十分钟 以内 没事儿 干 本来 想要 凹 囚笼 战区 莉莉丝 幽默 东西 不会 做 做 内测 战神 削成 飞舞 2700w 血 未元 投影仪 看看 榜上 莉莉丝 招笑 运营 服务 官方 装 死 冷处理 不得不 说 确实 有效 看不到 官方 诚意 以后 不会 库洛 氪 一分钱',neg
'云玩好 卡 还好 整体 觉得 永劫 无间 差不多',pos
'玩 400 天 资源 挺 攒 微 氪 玩 挺舒服 最好 真的 永不 关服 s 光头',pos
'好玩 肝 好品 搜 攻略',pos
'想要 大耳狗 真东 东阳',pos
'打不开 黑屏',pos
'先知 虚妄 重做 金皮 优化 抽象 建模 配饰 觉得 好看',pos
'每次 新 赛季 卡 一批',neg
'bug 一堆 包括 限于 活动 页面 直接 返回 主 页面 造成 游戏卡 死',pos
'太 好玩 明日 方舟 已经 垂直 退坑 博士 本来 剧情 少 搁着 高维 投影 高牛 魔 想 战双 搞 高维 不能 先 掂量 一下 再学 这下 博士 意识 没 真成 工具 图是 下个月 月度 小队 剧情 了解 我要 点明 一款 年 新年 年夏活 主角 没 戏份 游戏 猜 什么游戏 你游 剧情 真的 逆天 一年 两次 主线 大部分 支线 主线 毛 关系 没有 妮 芙 故事集 快 主线 透玩 差 推王 小队 b 鹰角 不想 写 博士 别写 每次 博士 高光 肉眼 敷衍 高光 够 怕 抢 重要 干员 戏份 高光 怕 骂 摄像头 不想 写 大特 一刀 博士 劈 石棺 里 限定 空降 强度 爆炸 人设 不会 设计 之前 主线 生于 黑夜 多年 文案 一点 没 进步 人一多 文案 不会 写 活脱脱 一个 泰 拉丁 真 太 纯真 知道 炸炸 炸 剧情 换个 精英 干员 替换 好笑 阿斯 卡纶 应该 扑进 小特 怀里 小时候 捡 特大 特养 两次 没 见到 推王 没 异格成 关键 没 抽到 一黑键 三 logos 差个 图图 新六星 设计 特点 策划 会 设计 微微 安娜 设计 成 回转 没 回转 伤害 没 伤害 抗伤 没 抗伤 不信 2023 年 干员 连开服 伺夜 颂 一桌 模板 技能 模组 救 回来 23 上半 异格 送葬 今年 左 乐都 天赋 回转 输出 低 加上 模组 基本 合约 高 难以 外 上场 盾 只能 挡 近战 概率 星熊 格挡 三 技能 第二次 永续 技力 三十多 减 一半 不行 42 强 微微 安娜 搞 弱 大不了 锏 打破 模板 设计 剑豪 四 五六 星 技能 全是 攻回 锏 三 技能 自回 术 战者 强力 击全 自回 微微 安娜 攻回 不行 技力 十二 第二次 开启 减半 模组 攻击 范围 增加 就行了 非要 自回 技力 碧 设计师 会 设计 设计 真的 逆天',neg
'现在 玩 差不多 27 章 有点 感觉 庄生梦蝶 一套 我要 寄 刀片',pos
'挺 手机 玩 高难度 有点 困难 适合 电脑 玩',pos
'游戏 永劫 云 玩 突然 不能',pos
'觉得 和平 精英 游戏 画质 清晰 手感 玩起来 超好 里面 枪 真实 真感 完全 体会 新出 团战 新 地图 非常 好玩 觉得 设计师 设 拐角 非常 敌人 没 之前 躲 拐角',pos
'鞭尸 发便 便 小孩 骂人 没什么 问题',pos
'游戏 难度 高难度 熟悉 对手 攻击方式 非常 躲开 怪物 攻击方式 单调 耐 玩性 很多 地图 五个 游戏 难度 非常 耐玩',pos
'下载 总 下载 失败',pos
'数值 膨胀 玩',neg
'不好玩',pos
'从塔防 游戏 出发 已经 十分 优秀 更何况 五年 开发 算是 塔防上 开出 花',pos
'装 开机 自启动 反作弊 系统 删不掉',neg
'电脑 玩 陆陆续续 退坑 回游 老 玩家 19 年 出 不知 火 开了个 新 号 一直 玩 下去 愿予 必成 区 现在 服合区 挺 喜欢 游戏 真的 喜欢 久 现在 真的 寒心 现在 没 办法 释怀 超 鬼王 活动 没有 看到 策划 做出 招笑 负 收益 活动 一丝一毫 歉意 福利 一而再 再而三 地削 阴阳师 氪 玩 一年 做好 规划 能真 全图 打个 名士 大伙 期待值 高 活动 整成 是不是 过分 氪 氪 皮肤 微 氪 玩家 现在 真的 不敢 氪 金 怕 成为 数值 狂欢 看不到 制作组 游戏 运营 下去 决心 看不到 制作组 游戏 热爱 只能 看到 满眼 短期 钱 寻思 超 鬼王 活动 流水 降成 样 真能 赚 不会 真 把玩 家当 二 缩短 游戏 寿命 赚 不到 钱 牛 商战 鬼才 cz 策划 灵机一动 不会 氪 金 手里 20 w 勾 玉花 完 退游 祝 早日 关服 尽早 端 陪伴 服 发 评论 想 劝 快 跑 觉得 评分 太高 听 劝 真别入 坑 审美 下降 美术组 角色 失去 特色 变成 大众 妆容 剩个 建模 运营 一塌糊涂 游戏 吸引 留下 魅力',neg
'每次 看到 降价 背刺 老 玩家 麻',neg
'陪伴 近乎 整个 青春 没玩过 了解 游戏 推荐 玩 世界 很大 故事 很多 地图 风景 好看 会 很多 新奇 体验 通关 以后 地图 满 探索 剧情 完 任务 全清 深渊 满星 会 感到 无聊 每天 上线 清 体力 刷 每日 只能 下个 版本 地图 角色 传说 任务 质量 时高时低 现在 觉得 温迪 传说 优秀 一个 真心 喜欢 款 游戏 说 提 瓦特 故事 结束 前 绝对 不会 退游 希望 做到 希望 以后 更 优秀 剧情 风景 更好 地图',pos
'氪 金度 目前 没有 逼 氪 前期 新手 玩 差不多 五六十 七十 抽 应该 奖励 真的 少 立绘 建模 绝对 好看 司辰 老婆 爱 斯哈 角色 人设 人设 目前 刚过 完 13 剧情 目前 体验 良好 人设 够 角色 性格 鲜明 星娣 老婆 好棒 数值 合理性 六星出 练 六星 数值 真的 高 四星 前期 过渡 五星 中后 过渡 最后 看六星 画面 音乐 英伦 风 英语 听 确实 舒服 配着 中国 字幕 有点 违和 电影 还行 你游 目前 节奏 运营 知道 说 说 福利 少搞 福利 多点 算 良心 手游 非 听 运营 没 死气沉沉 可玩性 少 点',pos
'Bug 千千万 蛋仔 占 一半',pos
'剧情 完美 角色 精美 程度 完美 打斗 完美 高质量 游戏 非常 推荐 入坑',pos
